AnalysisId,SampleId,SampleNum,Type,Fixed,Latitude,Longitude,Distance_miles,Bearing,Direction,CollectionDate,Source,Description,SpectraFile,SamplingTime,LiveTime,InstrumentHeight,Uncertainty,MDA,MethodCode,Moisture_pct,Nuclide,Result,Unit
221799,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0.06495,,InSituGammaSpec,,Cs-134,0.4675,uCi/m2
221801,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0.002928308,,InSituGammaSpec,,Cs-137,0.411330404,uCi/m2
221803,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0,0.003808405,InSituGammaSpec,,Cs-136,0,uCi/m2
221805,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0.001802,,InSituGammaSpec,,I-131,0.006515,uCi/m2
221807,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0,0.01594,InSituGammaSpec,,I-132,0,uCi/m2
221809,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0.022691,,InSituGammaSpec,,Te-129,0.536495,uCi/m2
221811,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0,0.00802,InSituGammaSpec,,I-133,0,uCi/m2
221813,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0.040567,,InSituGammaSpec,,Te-129m,0.883026,uCi/m2
221815,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0,0.00542,InSituGammaSpec,,Te-132,0,uCi/m2
221817,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0.00165,,InSituGammaSpec,,La-140,0.010499,uCi/m2
221819,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0,0.006145,InSituGammaSpec,,Nb-95,0,uCi/m2
221821,10325,JIS-0607-1,Instrument,No,37.074417,140.781556,27.6390610686498,210.005763499705,SSW,6/6/2011 8:45:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-1.CHN,1968,1800,100,0,0.00496,InSituGammaSpec,,Ag-110m,0,uCi/m2
221823,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0.04722,,InSituGammaSpec,,Cs-134,0.349497,uCi/m2
221825,10327,JIS-0607-2,Instrument,No,36.913444,140.79975,37.3088747862991,200.129683426415,SSW,6/6/2011 11:35:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time.;,0607-2.CHN,1845,1800,100,0.002286984,,InSituGammaSpec,,Cs-137,0.327271037,uCi/m2
