Country,State,Name,Latitude,Longitude,DistanceFromSource,ArrivalDay,ArrivalHour,ArrivalMin,TravelTimeHours,TravelTimeMin,MaxWaveDay,MaxWaveHour,MaxWaveMin,MaxWaveHeight
ANTARCTICA,,SCOTT BASE (NEW ZEALAND),-77.85,166.767,13024,12,3,30,21,44,12,18,30,0.05
ANTARCTICA,,SULZBERGER ICE SHELF,-76.53,-150.16,13590,,,,,,,,,
AUSTRALIA,,"BURNIE, TASMANIA",-41.0501,145.915,8833,,,,,,12,3,47,0.16
AUSTRALIA,,GROOTE EYLANDT ISLAND,-13.86,136.4158,5834,12,5,29,23,42,12,6,20,0.04
AUSTRALIA,,PORT KEMBLA,-34.483,150.917,8143,11,19,48,14,1,12,1,20,0.36
AUSTRALIA,,PORTLAND,-38.3434,141.6132,8525,11,22,39,16,52,12,9,4,0.12
AUSTRALIA,,ROSSLYN BAY,-23.161,150.79,6892,11,19,17,13,30,12,0,15,0.41
AUSTRALIA,,"SPRING BAY, TASMANIA",-42.55,147.933,9010,11,20,46,14,59,12,6,32,0.47
BRAZIL,,ARRAIAL DO CABO,-22.973,-42.012,18266,12,11,55,30,19,,,,0.21
CANADA,BC,"889 BPR, BRITISH COLUMBIA",48.67065,-126.84849,6976,,,,,,,,,0.14
CANADA,BC,"AARON POINT, BRITISH COLUMBIA",,,,,,,,,,,,0.48
CANADA,BC,"BAMFIELD, BRITISH COLUMBIA",48.837,-125.137,7078,,,,,,,,,0.4
CANADA,BC,"BARKLEY CANYON BPR, BC",48.31507,-126.05877,7046,,,,,,,,,0.15
CANADA,BC,"BELLA BELLA, BRITISH COLUMBIA",52.163,-128.143,6719,,,,,,,,,0.21
CANADA,BC,"CAMPBELL RIVER, BRITISH COLUMBIA",50.01667,-125.23333,7009,,,,,,,,,0.06
CANADA,BC,"CAPE SCOTT, VANCOUVER ISLAND, BC",50.78,-128.43,6768,,,,,,,,,
CANADA,BC,"CORK BPR, BRITISH COLUMBIA",47.7627,-127.7591,6964,,,,,,,,,0.1
CANADA,BC,"CRAIGFLOWER, BRITISH COLUMBIA",48.45216,-123.42551,7208,,,,,,,,,0.08
CANADA,BC,"FOLGER PASSAT BPR, BRITISH COLUMBIA",48.80833,-125.28333,7070,,,,,,,,,0.34
CANADA,BC,"HENSLUNG COVE, BRITISH COLUMBIA",54.192,-133.003,6332,,,,,,,,,0.52
CANADA,BC,"LANGARA ISLAND, BRITISH COLUMBIA",54.25,-133.03333,6328,,,,,,,,,0.54
CANADA,BC,"NEW WESTMINSTER, BRITISH COLUMBIA",49.2,-122.91667,7199,,,,,,,,,
CANADA,BC,"PATRICIA BAY, BRITISH COLUMBIA",48.4,-123.4,7213,11,16,4,10,17,11,17,47,0.79
CANADA,BC,"POINT ATKINSON, BRITISH COLUMBIA",49.33333,-123.25,7170,,,,,,,,,0.02
CANADA,BC,"PORT ALBERNI, BRITISH COLUMBIA",49.233,-124.817,7077,,,,,,,,,0.68
CANADA,BC,"PORT HARDY, BRITISH COLUMBIA",50.722,-127.488,6831,,,,,,,,,0.24
CANADA,BC,"PORTAGE INLET, BRITISH COLUMBIA",48.45733,-123.42458,7208,,,,,,,,,0.06
