CountryName,CountryCode,gdpPerCap2012,population2012,gdpGrowth2012,gdp
Aruba,ABW,,102384,,0
Afghanistan,AFG,416.8755396,29824536,14.38548795,12433119538
Angola,AGO,2685.834165,20820525,6.830623688,55920477378
Albania,ALB,3549.449903,3162083,1.6,11223655198
Andorra,AND,,78360,,0
Arab World,ARB,4621.266629,362466629,4.35288685,1675054936724
United Arab Emirates,ARE,24077.73241,9205651,4.365219161,221651201438
Argentina,ARG,,41086927,1.899578109,0
Armenia,ARM,2237.058487,2969081,7.191865781,6642007850
American Samoa,ASM,,55128,,0
Antigua and Barbuda,ATG,11306.56768,89069,2.847247304,1007064677
Australia,AUS,37241.59136,22722000,3.414517397,846203438882
Austria,AUT,40058.38376,8429991,0.870499679,337691814571
Azerbaijan,AZE,3114.562475,9295784,2.2,28952300022
Burundi,BDI,153.1426877,9849569,4.019358035,1508389469
Belgium,BEL,36560.38529,11128246,-0.136218752,406852961362
Benin,BEN,567.9137757,10050702,5.399973877,5707932121
Burkina Faso,BFA,492.755261,16460141,9.537433057,8110821075
Bangladesh,BGD,597.0206457,154695368,6.233705051,92356328490
Bulgaria,BGR,4633.834601,7305888,0.8,33854276605
Bahrain,BHR,16765.47915,1317827,3.399557843,22094001092
"Bahamas, The",BHS,21083.64754,371960,1.832171744,7842273539
Bosnia and Herzegovina,BIH,3359.15595,3833916,-0.700000037,12878721743
Belarus,BLR,4858.437146,9464000,1.5,45980249150
Belize,BLZ,4247.671429,324060,5.286334027,1376500403
Bermuda,BMU,70592.26101,64806,-4.868600264,4574802067
Bolivia,BOL,1259.813782,10496285,5.176430946,13223364503
Brazil,BRA,5721.225684,198656019,0.872708176,1136555918184
Barbados,BRB,14349.55272,283221,0.00929368,4064094671
Brunei Darussalam,BRN,24947.10096,412238,2.154755907,10284143006
Bhutan,BTN,2060.67228,741822,9.441665526,1528652032
Botswana,BWA,6683.659899,2003910,4.17870569,13393452908
Sub-Saharan Africa (IFC classification),CAA,,,,0
Central African Republic,CAF,471.5997065,4525209,6.896432893,2134087236
Canada,CAN,36122.78981,34754312,1.709028621,1255422707367
East Asia and the Pacific (IFC classification),CEA,,,,0
Europe and Central Asia (IFC classification),CEU,,,,0
Switzerland,CHE,54995.90589,7996861,1.049093458,439794614971
Channel Islands,CHI,,161235,,0
Chile,CHL,9447.081235,17464814,5.55537004,164991516612
China,CHN,3348.009885,1350695000,7.8,4522140211620
Cote d'Ivoire,CIV,957.8841384,19839750,9.496871117,19004181835
Latin America and the Caribbean (IFC classification),CLA,,,,0
Middle East and North Africa (IFC classification),CME,,,,0
Cameroon,CMR,963.7739432,21699631,4.579003165,20913538935
"Congo, Dem. Rep.",COD,164.5170626,65705093,7.152010253,10809608898
"Congo, Rep.",COG,1943.690621,4337051,3.799999998,8429885351
Colombia,COL,4260.917334,47704427,4.21297881,203264619913
Comoros,COM,606.0071932,717503,2.960788943,434811979
Cabo Verde,CPV,3320.860781,494401,2.5,1641836891
Costa Rica,CRI,5716.048001,4805295,5.12899505,27467296879
South Asia (IFC classification),CSA,,,,0
Caribbean small states,CSS,7554.093995,6964458,1.809498607,52610170356
Cuba,CUB,,11270957,,0
Curacao,CUW,,152056,,0
Cayman Islands,CYM,,57570,,0
Cyprus,CYP,21552.03462,1128994,-2.4,24332117774
Czech Republic,CZE,14235.01689,10510785,-1.021119255,149621202002
Germany,DEU,38219.82916,80425823,0.68865531,3073861215112
Djibouti,DJI,,859652,,0
Dominica,DMA,6279.79843,71684,-1.728502716,450161071
Denmark,DNK,46254.88712,5591572,-0.358728262,258637531683
Dominican Republic,DOM,5053.924573,10276621,3.887682601,51937267399
Algeria,DZA,3212.105237,38481705,3.3,123607286159
East Asia & Pacific (developing only),EAP,2855.585423,1991616400,7.47968899,5687230760048
East Asia & Pacific (all income levels),EAS,5989.818813,2233783501,4.313033601,13379958438459
Europe & Central Asia (developing only),ECA,4734.784065,270781183,1.800591847,1282090430370
Europe & Central Asia (all income levels),ECS,19467.45425,896046189,0.082784433,17443738190244
Ecuador,ECU,3568.186472,15492264,5.123267676,55279286825
"Egypt, Arab Rep.",EGY,1559.615266,80721874,2.213028907,125895066991
Euro area,EMU,32016.59843,333252928,-0.649245484,10669625171398
Eritrea,ERI,200.4480388,6130922,7.017108852,1228931291
