Country,State,Name,Latitude,Longitude,DistanceFromSource,ArrivalDay,ArrivalHour,ArrivalMin,TravelTimeHours,TravelTimeMin,MaxWaveDay,MaxWaveHour,MaxWaveMin,MaxWaveHeight
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.92053,141.58233,98,,,,,,,,,5.23
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.11133,140.92789,128,,,,,,,,,5.25
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.96881,140.90536,133,,,,,,,,,5.26
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.43081,141.24503,99,,,,,,,,,1.8
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42547,141.36269,89,,,,,,,,,1.82
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.43831,141.24428,100,,,,,,,,,1.85
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.04372,140.88795,133,,,,,,,,,1.85
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42744,141.35083,90,,,,,,,,,1.88
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12358,140.89525,131,,,,,,,,,1.89
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42472,141.23631,100,,,,,,,,,2.56
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42044,141.23403,100,,,,,,,,,2.58
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41644,141.21186,102,,,,,,,,,2.59
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.22511,140.96544,123,,,,,,,,,2.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.16669,140.93156,127,,,,,,,,,2.62
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.24916,140.98892,121,,,,,,,,,2.65
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.419,141.21486,102,,,,,,,,,2.68
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12053,140.90219,130,,,,,,,,,2.69
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42383,141.31063,94,,,,,,,,,2.7
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.32852,141.1555,106,,,,,,,,,7.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90708,141.57664,97,,,,,,,,,4.91
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.3347,141.1641,106,,,,,,,,,7.02
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41464,141.32339,92,,,,,,,,,5.27
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.89017,141.57769,96,,,,,,,,,5.28
